"47 The American Sign Language and English Secondary School","223 EAST 23 STREET MANHATTAN, NY 10010",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"P.S. 138 Brooklyn","760 PROSPECT PLACE BROOKLYN, NY 11216",40.674237,-73.951323,1,rooftop,760,"Prospect Pl",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"P.S. 139 Alexine A. Fenty","330 RUGBY ROAD BROOKLYN, NY 11226",40.641073,-73.96558,1,rooftop,330,"Rugby Rd",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"P.S. 142 Amalia Castro","100 ATTORNEY STREET MANHATTAN, NY 10002",40.718507,-73.984216,1,rooftop,100,"Attorney St","New York",NY,"New York County",10002,US,"City of New York"
"P.S. 147 Isaac Remsen","325 BUSHWICK AVENUE BROOKLYN, NY 11206",40.704772,-73.939006,1,rooftop,325,"Bushwick Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"P.S. 148 Queens","89-02 32 AVENUE QUEENS, NY 11369",40.758188,-73.87875,1,rooftop,89-2,"32nd Ave","East Elmhurst",NY,"Queens County",11369,US,"City of New York"
"P.S. 149 Christa Mcauliffe","93-11 34 AVENUE QUEENS, NY 11372",40.755089,-73.874228,1,rooftop,93-11,"34th Ave","Jackson Heights",NY,"Queens County",11372,US,"City of New York"
"P.S. 149 Sojourner Truth","41 WEST 117 STREET MANHATTAN, NY 10026",40.802436,-73.948291,1,rooftop,41,"W 117th St","New York",NY,"New York County",10026,US,"City of New York"
"P.S. 150 Charles James Fox","920 EAST 167 STREET BRONX, NY 10459",40.826198,-73.894273,1,rooftop,920,"E 167th St",Bronx,NY,"Bronx County",10459,US,"City of New York"
"P.S. 150 Christopher","364 SACKMAN STREET BROOKLYN, NY 11212",40.668524,-73.904734,1,rooftop,364,"Sackman St",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 150 Queens","40-01 43 AVENUE QUEENS, NY 11104",40.745689,-73.923378,1,rooftop,40-1,"43rd Ave",Sunnyside,NY,"Queens County",11104,US,"City of New York"
"P.S. 151 Lyndon B. Johnson","763 KNICKERBOCKER AVENUE BROOKLYN, NY 11207",40.693303,-73.908362,0.9,rooftop,763,"Knickerbocker Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"P.S. 152 Dyckman Valley","93 NAGLE AVENUE MANHATTAN, NY 10040",40.860195,-73.927842,1,rooftop,93,"Nagle Ave","New York",NY,"New York County",10040,US,"City of New York"
"P.S. 154 Harriet Tubman","250 WEST 127 STREET MANHATTAN, NY 10027",40.81081,-73.948985,1,rooftop,250,"W 127th St","New York",NY,"New York County",10027,US,"City of New York"
"P.S. 157 Benjamin Franklin","850 KENT AVENUE BROOKLYN, NY 11205",40.695276,-73.95966,1,rooftop,850,"Kent Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"P.S. 158 Warwick","400 ASHFORD STREET BROOKLYN, NY 11207",40.672561,-73.884926,1,rooftop,400,"Ashford St",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"P.S. 159 Isaac Pitkin","2781 PITKIN AVENUE BROOKLYN, NY 11208",40.675922,-73.869655,1,rooftop,2781,"Pitkin Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"P.S. 160 Walt Disney","4140 HUTCHINSON RIVER PKWAY EA BRONX, NY 10475",40.864392,-73.824241,1,rooftop,4140,"Hutchinson River Pkwy E",Bronx,NY,"Bronx County",10475,US,"City of New York"
"P.S. 160","1057 52ND STREET BROOKLYN, NY 11219",40.636604,-73.999027,1,rooftop,1057,"52nd St",Brooklyn,NY,"Kings County",11219,US,"City of New York"
"P.S. 161 Pedro Albizu Campos","499 WEST 133 STREET MANHATTAN, NY 10027",40.817503,-73.952611,0.9,rooftop,499,"W 133rd St","New York",NY,"New York County",10031,US,"City of New York"
"P.S. 161 The Crown","330 CROWN STREET BROOKLYN, NY 11225",40.666038,-73.949215,1,rooftop,330,"Crown St",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"P.S. 163 Alfred E. Smith","163 WEST 97 STREET MANHATTAN, NY 10025",40.794559,-73.968757,1,rooftop,163,"W 97th St","New York",NY,"New York County",10025,US,"City of New York"
"P.S. 163 Arthur A. Schomburg","2075 WEBSTER AVENUE BRONX, NY 10457",40.851621,-73.898776,1,rooftop,2075,"Webster Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 164 Caesar Rodney","4211 14 AVENUE BROOKLYN, NY 11219",40.59524,-73.975025,0.9,rooftop,14,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 165 Edith K. Bergtraum","70-35 150 STREET QUEENS, NY 11367",40.729545,-73.818098,1,rooftop,70-35,"150th St",Flushing,NY,"Queens County",11367,US,"City of New York"
"P.S. 166 Henry Gradstein","33-09 35 AVENUE QUEENS, NY 11106",40.757347,-73.926473,1,rooftop,33-9,"35th Ave",Astoria,NY,"Queens County",11106,US,"City of New York"
"P.S. 169 Bay Terrace","18-25 212 STREET QUEENS, NY 11360",40.782319,-73.778856,1,rooftop,18-25,"212th St",Bayside,NY,"Queens County",11360,US,"City of New York"
"P.S. 169 Sunset Park","4305 7 AVENUE BROOKLYN, NY 11232",40.652547,-74.013083,0.68,nearest_rooftop_match,4323,"2nd Ave",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"P.S. 170","1598 TOWNSEND AVENUE BRONX, NY 10452",40.844443,-73.913383,1,rooftop,1598,"Townsend Ave",Bronx,NY,"Bronx County",10452,US,"City of New York"
"P.S. 172 Beacon School of Excellence","825 4 AVENUE BROOKLYN, NY 11232",40.593833,-73.96135,0.8,rooftop,825,"Ave W",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 173 Fresh Meadows","174-10 67 AVENUE QUEENS, NY 11365",40.734307,-73.795257,1,rooftop,174-10,"67th Ave","Fresh Meadows",NY,"Queens County",11365,US,"City of New York"
"P.S. 175 City Island","200 CITY ISLAND AVENUE BRONX, NY 10464",40.843835,-73.784215,1,rooftop,200,"City Island Ave",Bronx,NY,"Bronx County",10464,US,"City of New York"
"P.S. 175 The Lynn Gross Discovery School","64-35 102 STREET QUEENS, NY 11374",40.730746,-73.852886,0.9,rooftop,64-35,"102nd St","Forest Hills",NY,"Queens County",11375,US,"City of New York"
"P.S. 176 Cambria Heights","120-45 235 STREET QUEENS, NY 11411",40.685329,-73.72988,1,rooftop,120-45,"235th St","Cambria Heights",NY,"Queens County",11411,US,"City of New York"
"P.S. 176 Ovington","1225 69 STREET BROOKLYN, NY 11219",40.62483,-74.005582,1,range_interpolation,1225,"69th St",Brooklyn,NY,"Kings County",11219,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 177 The Marlboro","346 AVENUE P BROOKLYN, NY 11204",40.608456,-73.974497,0.9,rooftop,346,"Ave P",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 178 - Dr. Selman Waksman","850 BAYCHESTER AVENUE BRONX, NY 10475",40.875133,-73.83334,1,rooftop,850,"Baychester Ave",Bronx,NY,"Bronx County",10475,US,"City of New York"
"P.S. 178 Saint Clair Mckelway","2163 DEAN STREET BROOKLYN, NY 11233",40.675132,-73.915351,1,rooftop,2163,"Dean St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"P.S. 179 Kensington","202 AVENUE C BROOKLYN, NY 11218",40.640327,-73.977385,1,rooftop,202,"Ave C",Brooklyn,NY,"Kings County",11218,US,"City of New York"
"P.S. 183 Dr. Richard R. Green","2-45 BEACH 79 STREET QUEENS, NY 11693",40.589833,-73.805526,0.7,range_interpolation,2,"Beach 79th St","Far Rockaway",NY,"Queens County",11693,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 184 Newport","273 NEWPORT STREET BROOKLYN, NY 11212",40.660095,-73.904914,1,rooftop,273,"Newport St",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 184m Shuang Wen","327 CHERRY STREET MANHATTAN, NY 10002",40.711499,-73.98585,1,rooftop,327,"Cherry St","New York",NY,"New York County",10002,US,"City of New York"
"P.S. 185 Walter Kassenbrock","8601 RIDGE BOULEVARD BROOKLYN, NY 11209",40.623667,-74.033688,1,rooftop,8601,"Ridge Blvd",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"P.S. 186 Dr. Irving A Gladstone","7601 19 AVENUE BROOKLYN, NY 11214",40.600514,-73.985273,0.8,rooftop,19,"Ave S",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 189 Lincoln Terrace","1100 EAST NEW YORK AVENUE BROOKLYN, NY 11212",40.665523,-73.925768,1,rooftop,1100,"E New York Ave",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 189","2580 AMSTERDAM AVENUE MANHATTAN, NY 10040",40.853098,-73.92756,1,rooftop,2580,"Amsterdam Ave","New York",NY,"New York County",10040,US,"City of New York"
"P.S. 191 Paul Robeson","1600 PARK PLACE BROOKLYN, NY 11233",40.671882,-73.924384,1,rooftop,1600,"Park Pl",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"P.S. 192 Jacob H. Schiff","500 WEST 138 STREET MANHATTAN, NY 10031",40.821417,-73.95252,1,rooftop,500,"W 138th St","New York",NY,"New York County",10031,US,"City of New York"
"P.S. 193 Gil Hodges","2515 AVENUE L BROOKLYN, NY 11210",40.621704,-73.950247,1,rooftop,2515,"Ave L",Brooklyn,NY,"Kings County",11210,US,"City of New York"
"P.S. 194 Countee Cullen","244 WEST 144 STREET MANHATTAN, NY 10030",40.821325,-73.940736,1,rooftop,244,"W 144th St","New York",NY,"New York County",10030,US,"City of New York"
"P.S. 194 Raoul Wallenberg","3117 AVENUE W BROOKLYN, NY 11229",40.59715,-73.934016,1,rooftop,3117,"Ave W",Brooklyn,NY,"Kings County",11229,US,"City of New York"
"P.S. 196 Ten Eyck","207 BUSHWICK AVENUE BROOKLYN, NY 11206",40.708762,-73.939802,1,rooftop,207,"Bushwick Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"P.S. 197 John B. Russwurm","2230 5 AVENUE MANHATTAN, NY 10037",40.813177,-73.937598,1,rooftop,2230,"5th Ave","New York",NY,"New York County",10037,US,"City of New York"
"P.S. 198 Brooklyn","4105 FARRAGUT ROAD BROOKLYN, NY 11210",40.637172,-73.936886,0.9,rooftop,4105,"Farragut Rd",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"P.S. 199X - The Shakespeare School","1449 SHAKESPEARE AVENUE BRONX, NY 10452",40.843371,-73.920447,1,rooftop,1449,"Shakespeare Ave",Bronx,NY,"Bronx County",10452,US,"City of New York"
"P.S. 200 Benson School","1940 BENSON AVENUE BROOKLYN, NY 11214",40.603019,-74.001508,1,rooftop,1940,"Benson Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"P.S. 202 Ernest S. Jenkyns","982 HEGEMAN AVENUE BROOKLYN, NY 11208",40.666256,-73.876405,1,rooftop,982,"Hegeman Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"P.S. 203 The School for Future Leaders","5101 AVENUE M BROOKLYN, NY 11234",40.621659,-73.925671,1,rooftop,5101,"Ave M",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"P.S. 204 Vince Lombardi","8101 15 AVENUE BROOKLYN, NY 11228",40.600502,-73.985378,0.8,rooftop,15,"Ave S",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 206 Joseph F Lamb","2200 GRAVESEND NECK ROAD BROOKLYN, NY 11229",40.597291,-73.948839,1,rooftop,2200,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11229,US,"City of New York"
"P.S. 207 Elizabeth G. Leary","3874 FLATLANDS AVENUE BROOKLYN, NY 11234",40.620357,-73.93635,1,rooftop,3874,"Flatlands Ave",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"P.S. 207 Elizabeth G. Leary","4011 FILLMORE AVENUE BROOKLYN, NY 11234",40.613649,-73.93011,1,rooftop,4011,"Fillmore Ave",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"P.S. 207","3030 GODWIN TERRACE BRONX, NY 10463",40.878371,-73.906388,1,rooftop,3030,"Godwin Ter",Bronx,NY,"Bronx County",10463,US,"City of New York"
"P.S. 208 Elsa Ebeling","4801 AVENUE D BROOKLYN, NY 11203",40.642271,-73.930632,1,rooftop,4801,"Ave D",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"P.S. 209 Margaret Mead","2609 EAST 7 STREET BROOKLYN, NY 11235",40.586711,-73.961723,1,rooftop,2609,"E 7th St",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"P.S. 21 Margaret Emery-Elm Park","168 HOOKER PLACE STATEN ISLAND, NY 10303",40.631386,-74.144699,0.9,rooftop,168,"Hooker Pl","Staten Island",NY,"Richmond County",10302,US,"City of New York"
"P.S. 213 New Lots","580 HEGEMAN AVENUE BROOKLYN, NY 11207",40.660317,-73.890315,1,rooftop,580,"Hegeman Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"P.S. 214","1970 WEST FARMS ROAD BRONX, NY 10460",40.839183,-73.880281,1,rooftop,1970,"W Farms Rd",Bronx,NY,"Bronx County",10460,US,"City of New York"
"P.S. 215 Morris H. Weiss","415 AVENUE S BROOKLYN, NY 11223",40.60229,-73.970084,1,rooftop,415,"Ave S",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 216 Arturo Toscanini","350 AVENUE X BROOKLYN, NY 11223",40.590372,-73.969733,1,rooftop,350,"Ave X",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 217 Colonel David Marcus School","1100 NEWKIRK AVENUE BROOKLYN, NY 11230",40.633803,-73.966375,1,rooftop,1100,"Newkirk Ave",Brooklyn,NY,"Kings County",11230,US,"City of New York"
"P.S. 219 Kennedy-King","1060 CLARKSON AVENUE BROOKLYN, NY 11212",40.65919,-73.922657,1,rooftop,1060,"Clarkson Ave",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 223 Lyndon B. Johnson","125-20 SUTPHIN BOULEVARD QUEENS, NY 11434",40.674623,-73.789914,0.9,rooftop,125-20,"Sutphin Blvd",Jamaica,NY,"Queens County",11436,US,"City of New York"
"P.S. 230 Doris L. Cohen","1 ALBEMARLE ROAD BROOKLYN, NY 11218",40.64526,-73.980424,1,rooftop,1,"Albemarle Rd",Brooklyn,NY,"Kings County",11218,US,"City of New York"
"P.S. 232 Lindenwood","153-23 83 STREET QUEENS, NY 11414",40.66585,-73.851027,1,rooftop,153-23,"83rd St","Howard Beach",NY,"Queens County",11414,US,"City of New York"
"P.S. 234","30-15 29 STREET QUEENS, NY 11102",40.767032,-73.923337,1,rooftop,30-15,"29th St",Astoria,NY,"Queens County",11102,US,"City of New York"
"P.S. 236 Mill Basin","6302 AVENUE U BROOKLYN, NY 11234",40.615918,-73.912727,1,rooftop,6302,"Ave U",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"P.S. 238 Anne Sullivan","1633 EAST 8 STREET BROOKLYN, NY 11223",40.608664,-73.964854,1,rooftop,1633,"E 8th St",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 242 Leonard P. Stavisky Early Childhood School","29-66 137 STREET QUEENS, NY 11354",40.769796,-73.831753,1,rooftop,29-66,"137th St",Flushing,NY,"Queens County",11354,US,"City of New York"
"P.S. 244 Richard R. Green","5404 TILDEN AVENUE BROOKLYN, NY 11203",40.648273,-73.926079,1,range_interpolation,5404,"Tilden Ave",Brooklyn,NY,"Kings County",11203,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 245","249 EAST 17TH STREET BROOKLYN, NY 11226",40.644877,-73.963025,1,rooftop,249,"E 17th St",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"P.S. 246 Poe Center","2641 GRAND CONCOURSE BRONX, NY 10468",40.86585,-73.895084,1,rooftop,2641,"Grand Conc",Bronx,NY,"Bronx County",10468,US,"City of New York"
"P.S. 249 The Caton","18 MARLBOROUGH ROAD BROOKLYN, NY 11226",40.649646,-73.966191,1,rooftop,18,"Marlborough Rd",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"P.S. 250 George H. Lindsay","108 MONTROSE AVENUE BROOKLYN, NY 11206",40.706957,-73.945434,1,rooftop,108,"Montrose Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"P.S. 253","601 OCEANVIEW AVENUE BROOKLYN, NY 11235",40.584455,-73.948402,0.22,place,,,Brooklyn,NY,"Kings County",11235,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 254 - The Rosa Parks School","84-40 101 STREET QUEENS, NY 11418",40.69711,-73.847814,1,rooftop,84-40,"101st St","Richmond Hill",NY,"Queens County",11418,US,"City of New York"
"P.S. 256 Benjamin Banneker","114 KOSCIUSZKO STREET BROOKLYN, NY 11216",40.690671,-73.949823,1,rooftop,114,"Kosciuszko St",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS","371 89th Street BROOKLYN, NY 11209",40.620938,-74.029681,1,rooftop,371,"89th St",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"P.S. 272 Curtis Estabrook","101-24 SEAVIEW AVENUE BROOKLYN, NY 11236",40.627369,-73.899682,0.9,range_interpolation,101,"Seaview Ave",Brooklyn,NY,"Kings County",11236,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 277 Gerritsen Beach","2529 GERRITSEN AVENUE BROOKLYN, NY 11229",40.596296,-73.928923,1,range_interpolation,2529,"Gerritsen Ave",Brooklyn,NY,"Kings County",11229,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 28 - The Thomas Emanuel Early Childhood Center","109-10 47 AVENUE QUEENS, NY 11368",40.747128,-73.854379,1,rooftop,109-10,"47th Ave",Corona,NY,"Queens County",11368,US,"City of New York"
"P.S. 288 The Shirley Tanyhill","2950 WEST 25 STREET BROOKLYN, NY 11224",40.574296,-73.992094,1,rooftop,2950,"W 25th St",Brooklyn,NY,"Kings County",11224,US,"City of New York"
"P.S. 290 Juan Morel Campos","135 SCHENCK AVENUE BROOKLYN, NY 11207",40.678128,-73.889689,1,rooftop,135,"Schenck Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"P.S. 295","330 18 STREET BROOKLYN, NY 11215",40.66113,-73.988815,1,rooftop,330,"18th St",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"P.S. 297 Abraham Stockton","700 PARK AVENUE BROOKLYN, NY 11206",40.697634,-73.947722,1,rooftop,700,"Park Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"P.S. 298 Dr. Betty Shabazz","85 WATKINS STREET BROOKLYN, NY 11212",40.670847,-73.908015,1,rooftop,85,"Watkins St",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 3 Raul Julia Micro Society","2100 LAFONTAINE AVENUE BRONX, NY 10457",40.850249,-73.891953,1,rooftop,2100,"Lafontaine Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 306 Ethan Allen","970 VERMONT STREET BROOKLYN, NY 11207",40.655454,-73.886363,1,rooftop,970,"Vermont St",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"P.S. 306","40 WEST TREMONT AVENUE BRONX, NY 10453",40.851555,-73.911281,1,rooftop,40,"W Tremont Ave",Bronx,NY,"Bronx County",10453,US,"City of New York"
"P.S. 307 Daniel Hale Williams","209 YORK STREET BROOKLYN, NY 11201",40.701506,-73.981672,1,rooftop,209,"York St",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"P.S. 308 Clara Cardwell","616 QUINCY STREET BROOKLYN, NY 11221",40.688552,-73.935411,1,rooftop,616,"Quincy St",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"P.S. 309 The George E. Wibecan Preparatory Academy","794 MONROE STREET BROOKLYN, NY 11221",40.688337,-73.924472,1,rooftop,794,"Monroe St",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"P.S. 312 Bergen Beach","7103 AVENUE T BROOKLYN, NY 11234",40.621771,-73.908814,1,rooftop,7103,"Ave T",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"P.S. 326","1800 UTICA AVENUE BROOKLYN, NY 11234",40.628566,-73.928248,1,rooftop,1800,"Utica Ave",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"P.S. 327 Dr. Rose B. English","111 BRISTOL STREET BROOKLYN, NY 11212",40.66798,-73.912085,1,rooftop,111,"Bristol St",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 328 Phyllis Wheatley","330 ALABAMA AVENUE BROOKLYN, NY 11207",40.667799,-73.897869,1,rooftop,330,"Alabama Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"P.S. 330","110-08 NORTHERN BOULEVARD QUEENS, NY 11368",40.75773,-73.859052,1,rooftop,110-8,"Northern Blvd",Corona,NY,"Queens County",11368,US,"City of New York"
"P.S. 335 Granville T. Woods","130 ROCHESTER AVENUE BROOKLYN, NY 11213",40.674521,-73.92798,1,rooftop,130,"Rochester Ave",Brooklyn,NY,"Kings County",11213,US,"City of New York"
"P.S. 346 Abe Stark","1400 PENNSYLVANIA AVENUE BROOKLYN, NY 11239",40.647065,-73.881451,1,rooftop,1400,"Pennsylvania Ave",Brooklyn,NY,"Kings County",11239,US,"City of New York"
"P.S. 361 East Flatbush Early Childhood School","1957 NOSTRAND AVENUE BROOKLYN, NY 11210",40.637746,-73.947975,1,rooftop,1957,"Nostrand Ave",Brooklyn,NY,"Kings County",11210,US,"City of New York"
"P.S. 375 Jackie Robinson School","46 MCKEEVER PLACE BROOKLYN, NY 11225",40.665039,-73.95908,1,range_interpolation,46,"McKeever Pl",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 376","194 HARMAN STREET BROOKLYN, NY 11237",40.698349,-73.920242,1,rooftop,194,"Harman St",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"P.S. 377 Alejandrina B. De Gautier","200 WOODBINE STREET BROOKLYN, NY 11221",40.693882,-73.915155,1,rooftop,200,"Woodbine St",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"P.S. 38 Roberto Clemente","232 EAST 103 STREET MANHATTAN, NY 10029",40.788899,-73.9446,1,rooftop,232,"E 103rd St","New York",NY,"New York County",10029,US,"City of New York"
"P.S. 380 John Wayne Elementary","370 MARCY AVENUE BROOKLYN, NY 11206",40.702285,-73.953026,1,rooftop,370,"Marcy Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"P.S. 39 Francis J. Murphy Jr.","99 MACFARLAND AVENUE STATEN ISLAND, NY 10305",40.597797,-74.07008,1,rooftop,99,"Macfarland Ave","Staten Island",NY,"Richmond County",10305,US,"City of New York"
"P.S. 398 Walter Weaver","60 EAST 94 STREET BROOKLYN, NY 11212",40.664029,-73.92768,1,rooftop,60,"E 94th St",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 398","69-01 34TH AVENUE QUEENS, NY 11377",40.752761,-73.896707,1,rooftop,69-1,"34th Ave",Woodside,NY,"Queens County",11377,US,"City of New York"
"P.S. 399 Stanley Eugene Clark","2707 ALBEMARLE ROAD BROOKLYN, NY 11226",40.648149,-73.951786,1,rooftop,2707,"Albemarle Rd",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"P.S. 58 - School of Heroes","72-24 GRAND AVENUE QUEENS, NY 11378",40.728785,-73.890322,1,rooftop,72-24,"Grand Ave",Maspeth,NY,"Queens County",11378,US,"City of New York"
"P.S. 595","700 EAST 179 STREET BRONX, NY 10457",40.846335,-73.889323,1,rooftop,700,"E 179th St",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS","1664 BENSON AVENUE BROOKLYN, NY 11214",40.606994,-74.00719,1,rooftop,1664,"Benson Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"P.S. 90 Edna Cohen School","2840 WEST 12 STREET BROOKLYN, NY 11224",40.578137,-73.979835,1,rooftop,2840,"W 12th St",Brooklyn,NY,"Kings County",11224,US,"City of New York"
"P.S. 971","6214 4TH AVENUE BROOKLYN, NY 11220",40.639467,-74.020162,1,rooftop,6214,"4th Ave",Brooklyn,NY,"Kings County",11220,US,"City of New York"
"P.S. K225 - The Eileen E. Zaglin","1075 OCEAN VIEW AVENUE BROOKLYN, NY 11235",40.57981,-73.95601,1,rooftop,1075,"Ocean View Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"P.S. X014 Senator John Calandra","3047 BRUCKNER BOULEVARD BRONX, NY 10461",40.835741,-73.825906,1,rooftop,3047,"Bruckner Blvd",Bronx,NY,"Bronx County",10461,US,"City of New York"
"P.S. X088 - S. Silverstein Little Sparrow School","1340 SHERIDAN AVENUE BRONX, NY 10456",40.837076,-73.91358,1,rooftop,1340,"Sheridan Ave",Bronx,NY,"Bronx County",10456,US,"City of New York"
"P.S. X114 - Luis Llorens Torres Schools","1155 CROMWELL AVENUE BRONX, NY 10452",40.835151,-73.923037,1,rooftop,1155,"Cromwell Ave",Bronx,NY,"Bronx County",10452,US,"City of New York"
"P.S. X140 The Eagle School","916 EAGLE AVENUE BRONX, NY 10456",40.823392,-73.907801,1,rooftop,916,"Eagle Ave",Bronx,NY,"Bronx County",10456,US,"City of New York"
"P.S. X811","1434 LONGFELLOW AVENUE BRONX, NY 10459",40.830774,-73.887316,1,rooftop,1434,"Longfellow Ave",Bronx,NY,"Bronx County",10459,US,"City of New York"
"P.S./ M.S.138 Sunrise","251-11 WELLER AVENUE QUEENS, NY 11422",40.659553,-73.734727,1,rooftop,251-11,"Weller Ave",Rosedale,NY,"Queens County",11422,US,"City of New York"
"P.S./I.S. 104 The Fort Hamilton School","9115 5 AVENUE BROOKLYN, NY 11209",40.622459,-74.028749,0.33,place,,,Brooklyn,NY,"Kings County",11209,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S./I.S. 217 Roosevelt Island","645 MAIN STREET MANHATTAN, NY 10044",40.763886,-73.948118,1,rooftop,645,"Main St","New York",NY,"New York County",10044,US,"City of New York"
"P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School","1220 GERARD AVENUE BRONX, NY 10452",40.835818,-73.919915,1,rooftop,1220,"Gerard Ave",Bronx,NY,"Bronx County",10452,US,"City of New York"
"P.S./M.S. 004 Crotona Park West","1717 FULTON AVENUE BRONX, NY 10457",40.841752,-73.897809,1,rooftop,1717,"Fulton Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"PS 007 Louis F. Simeone Annex","76-05 51 AVENUE QUEENS, NY 11373",40.736944,-73.887331,1,rooftop,76-5,"51st Ave",Elmhurst,NY,"Queens County",11373,US,"City of New York"
"PS 112 Lefferts Park Annex","7301 15TH AVENUE BROOKLYN, NY 11228",40.618573,-74.001829,1,rooftop,7301,"15th Ave",Brooklyn,NY,"Kings County",11228,US,"City of New York"
"PS 226 Annex","1910 SEDGWICK AVENUE BRONX, NY 10453",40.854992,-73.916608,1,range_interpolation,1910,"Sedgwick Ave",Bronx,NY,"Bronx County",10453,US,"TIGER/Line® dataset from the US Census Bureau"
"PS 235 Janice Marie Knight School Annex","10001 FLATLANDS AVENUE BROOKLYN, NY 11236",40.645582,-73.898157,1,rooftop,10001,"Flatlands Ave",Brooklyn,NY,"Kings County",11236,US,"City of New York"
"PS 354","126-10 BEDELL STREET QUEENS, NY 11434",40.679868,-73.774233,1,rooftop,126-10,"Bedell St",Jamaica,NY,"Queens County",11434,US,"City of New York"
